sequence	16S_rRNA_Count	metadata_NSTI
OTU000001	1	0.021092
OTU000002	3	0.033076
OTU000003	4	0.02284
OTU000004	4	0.5890529999999999
OTU000005	3	0.032499
OTU000006	1	0.084901
OTU000007	1	0.16806300000000002
OTU000008	1	0.157387
OTU000009	4	0.214128
OTU000010	4	0.306717
OTU000011	6	0.06448999999999999
OTU000012	4	0.640495
OTU000013	1	0.064564
OTU000014	4	0.557309
OTU000015	4	0.443325
OTU000016	1	0.083106
OTU000017	1	0.518845
OTU000018	4	0.283978
OTU000019	4	0.364719
OTU000020	4	0.643297
OTU000021	4	0.531269
OTU000022	1	0.066835
OTU000023	1	0.031244
OTU000024	1	0.181427
OTU000025	4	0.338864
OTU000026	3	0.14821199999999998
OTU000027	1	0.021338
OTU000028	1	0.073888
OTU000029	1	0.200906
OTU000030	1	0.06374099999999999
OTU000031	1	0.06469
OTU000032	1	0.031005
OTU000033	4	0.07006799999999999
OTU000034	4	0.256562
OTU000035	4	0.310365
OTU000036	4	0.37455
OTU000037	1	1.8784020000000001
OTU000038	4	0.333566
OTU000039	4	0.317554
OTU000040	1	0.03779
OTU000041	1	0.389327
OTU000042	4	0.464142
OTU000043	1	0.144182
OTU000044	4	0.29039
OTU000045	1	0.336838
OTU000046	2	0.092862
OTU000047	4	0.064188
OTU000048	1	0.144501
OTU000049	7	0.033208999999999995
OTU000050	1	0.163323
OTU000051	4	0.536796
OTU000052	4	0.346258
OTU000053	1	0.730398
OTU000054	1	0.160806
OTU000055	1	0.234041
OTU000056	5	0.031533
OTU000057	1	0.181703
OTU000058	1	0.11883900000000001
OTU000059	1	0.163323
OTU000060	3	0.21911399999999998
OTU000061	1	0.21116300000000002
OTU000062	1	0.153832
OTU000063	4	0.45042299999999996
OTU000064	1	0.23994200000000002
OTU000065	1	0.8883489999999999
OTU000066	1	0.023195
OTU000067	2	0.669343
OTU000068	4	0.951837
OTU000069	1	0.055726
OTU000070	2	0.126721
OTU000071	4	0.382205
OTU000072	1	0.08580700000000001
OTU000073	1	0.376725
OTU000074	1	0.13159300000000002
OTU000075	4	0.075518
OTU000076	1	0.031733
OTU000077	1	0.744282
OTU000078	2	0.077097
OTU000079	3	0.030749000000000002
OTU000080	1	0.267549
OTU000081	1	0.6885859999999999
OTU000082	1	0.54437
OTU000083	4	0.19103900000000001
OTU000084	1	0.030463999999999998
OTU000085	4	0.400692
OTU000086	1	0.158332
OTU000087	4	0.278035
OTU000088	1	0.818349
OTU000089	1	0.14085599999999998
OTU000090	1	0.21180500000000002
OTU000091	1	0.129127
OTU000092	4	0.303675
OTU000093	1	0.17968800000000001
OTU000094	14	0.026468000000000002
OTU000095	4	0.524654
OTU000096	1	0.2538
OTU000097	4	0.348914
OTU000098	4	0.312663
OTU000099	4	0.441698
OTU000100	1	0.43209200000000003
OTU000101	1	0.154919
OTU000102	1	0.20656
OTU000103	1	0.7868109999999999
OTU000104	1	0.644235
OTU000105	1	0.181636
OTU000106	1	0.039424
OTU000107	4	0.549078
OTU000108	1	0.159681
OTU000109	1	0.061597000000000006
OTU000110	1	0.12673900000000002
OTU000111	1	0.23324699999999998
OTU000112	1	0.031334
OTU000113	3	0.362914
OTU000114	2	0.06166699999999999
OTU000115	1	0.12526900000000002
OTU000116	1	0.692497
OTU000117	1	0.041399
OTU000118	1	0.047254000000000004
OTU000119	4	0.5984229999999999
OTU000120	1	0.032643
OTU000121	1	0.247175
OTU000122	1	0.07473300000000001
OTU000123	1	0.031938999999999995
OTU000124	1	0.455421
OTU000125	2	0.545359
OTU000126	5	0.044843
OTU000127	1	0.1088
OTU000128	1	0.026693
OTU000129	1	0.023363
OTU000130	1	0.064199
OTU000131	4	0.43294499999999997
OTU000132	1	0.24828499999999998
OTU000133	1	0.10618399999999999
OTU000134	13	0.031337000000000004
OTU000135	1	0.15296700000000002
OTU000136	1	0.11551600000000001
OTU000137	1	0.131688
OTU000138	2	0.545766
OTU000139	1	0.056392
OTU000140	1	0.707752
OTU000141	2	0.392024
OTU000142	4	0.315195
OTU000143	6	0.196676
OTU000144	1	0.482789
OTU000145	2	0.228019
OTU000146	1	0.116534
OTU000147	1	0.031655
OTU000148	1	0.03249
OTU000149	1	0.14085599999999998
OTU000150	2	0.042862
OTU000151	1	0.292461
OTU000152	1	0.42113199999999995
OTU000153	1	0.194325
OTU000154	2	0.079894
OTU000155	1	0.737634
OTU000156	1	0.185905
OTU000157	1	0.073672
OTU000158	1	0.069796
OTU000159	4	0.41764399999999996
OTU000160	1	0.12278800000000001
OTU000161	2	0.023296
OTU000162	2	0.200942
OTU000163	1	0.047369
OTU000164	1	0.209866
OTU000165	1	0.149897
OTU000166	1	0.0234
OTU000167	4	0.46693900000000005
OTU000168	1	0.16465
OTU000169	3	0.127407
OTU000170	3	0.033201
OTU000171	3	0.057484
OTU000172	1	0.249673
OTU000173	4	0.549948
OTU000174	1	0.512972
OTU000175	4	0.26942
OTU000176	1	0.161651
OTU000177	1	0.701166
OTU000178	1	0.23301599999999997
OTU000179	4	0.36838200000000004
OTU000180	1	0.149338
OTU000181	4	0.455191
OTU000182	1	0.161357
OTU000183	1	0.156039
OTU000184	10	2.1231709999999997
OTU000185	1	0.21622800000000003
OTU000186	1	0.731256
OTU000187	1	0.066986
OTU000188	1	0.343475
OTU000189	1	1.061424
OTU000190	2	0.369073
OTU000191	1	0.363338
OTU000192	4	0.440134
OTU000193	1	0.743203
OTU000194	1	0.30146999999999996
OTU000195	1	0.179423
OTU000196	4	0.621398
OTU000197	1	0.209866
OTU000198	1	0.757541
OTU000199	1	0.390016
OTU000200	1	0.23922100000000002
OTU000201	2	0.611025
OTU000202	1	0.169048
OTU000203	1	0.325467
OTU000204	1	0.229094
OTU000205	1	0.195882
OTU000206	2	0.516836
OTU000207	1	0.804815
OTU000208	4	0.584849
OTU000209	4	0.428833
OTU000210	2	0.357583
OTU000211	1	0.843881
OTU000212	1	0.031325
OTU000213	1	0.284715
OTU000214	2	0.262474
OTU000215	2	0.541503
OTU000216	1	0.311919
OTU000217	1	0.186185
OTU000218	1	0.27908299999999997
OTU000219	1	0.304095
OTU000220	2	0.032243
OTU000221	4	0.136654
OTU000222	4	0.669129
OTU000223	1	0.24149299999999999
OTU000224	1	0.24149299999999999
OTU000225	1	0.8664229999999999
OTU000226	3	0.183367
OTU000227	1	0.182525
OTU000228	1	0.6683060000000001
OTU000229	1	0.23884899999999998
OTU000230	1	0.039448000000000004
OTU000231	1	0.33418200000000003
OTU000232	4	0.42936
OTU000233	1	0.21109499999999998
OTU000234	1	0.128773
OTU000235	1	0.133226
OTU000236	1	0.8609959999999999
OTU000237	1	0.062121
OTU000238	3	0.06865
OTU000239	1	0.479524
OTU000240	1	0.22086
OTU000241	1	0.324048
OTU000242	4	0.42769700000000005
OTU000243	1	0.021027
OTU000244	1	0.197241
OTU000245	1	0.193012
OTU000246	1	0.582055
OTU000247	1	0.81614
OTU000248	1	0.25200500000000003
OTU000249	1	0.143793
OTU000250	1	0.064613
OTU000251	1	0.14991400000000002
OTU000252	4	0.020885
OTU000253	1	0.167778
OTU000254	3	0.183367
OTU000255	1	0.15770499999999998
OTU000256	1	0.21035700000000002
OTU000257	1	0.099553
OTU000258	1	0.07646900000000001
OTU000259	1	0.20618000000000003
OTU000260	1	0.8264799999999999
OTU000261	1	0.257394
OTU000262	4	0.394426
OTU000263	1	0.671894
OTU000264	1	0.13367
OTU000265	1	0.062439
OTU000266	1	0.718819
OTU000267	4	0.46901899999999996
OTU000268	2	0.524279
OTU000269	2	0.340145
OTU000270	1	0.138505
OTU000271	1	0.411689
OTU000272	1	0.163323
OTU000273	1	0.115701
OTU000274	1	0.6801520000000001
OTU000275	1	0.138631
OTU000276	2	0.199134
OTU000277	1	0.038364999999999996
OTU000278	1	0.315198
OTU000279	1	1.190474
OTU000280	1	0.220788
OTU000281	1	0.171934
OTU000282	4	0.42025200000000007
OTU000283	1	0.7308640000000001
OTU000284	2	0.82649
OTU000285	1	0.854261
OTU000286	1	0.250444
OTU000287	2	0.575867
OTU000288	1	0.7259680000000001
OTU000289	1	0.208326
OTU000290	1	0.063067
OTU000291	1	0.209866
OTU000292	1	0.309019
OTU000293	1	0.700928
OTU000294	2	0.524026
OTU000295	1	0.094943
OTU000296	1	0.169069
OTU000297	1	0.267822
OTU000298	3	0.012943000000000001
OTU000299	1	0.181646
OTU000300	1	0.023672
OTU000301	1	0.212019
OTU000302	1	0.721472
OTU000303	1	0.202426
OTU000304	1	0.238496
OTU000305	1	0.15498800000000001
OTU000306	1	0.056591999999999996
OTU000307	1	0.175172
OTU000308	1	0.378579
OTU000309	4	0.40724899999999997
OTU000310	1	0.167778
OTU000311	1	0.961282
OTU000312	1	0.14085599999999998
OTU000313	1	0.235037
OTU000314	6	0.033229
OTU000315	1	0.12076500000000001
OTU000316	1	0.031566000000000004
OTU000317	1	0.038852
OTU000318	1	0.776827
OTU000319	1	0.7460220000000001
OTU000320	1	0.45396499999999995
OTU000321	2	0.241869
OTU000322	1	0.893809
OTU000323	1	0.29273699999999997
OTU000324	1	0.360554
OTU000325	1	1.0272299999999999
OTU000326	4	0.41773599999999994
OTU000327	1	0.18229700000000001
OTU000328	1	0.023315
OTU000329	1	0.136214
OTU000330	3	0.034551
OTU000331	1	0.24005
OTU000332	1	0.962548
OTU000333	2	0.25895300000000004
OTU000334	1	0.182767
OTU000335	1	0.553581
OTU000336	1	0.10936199999999999
OTU000337	1	0.030737
OTU000338	1	0.324523
OTU000339	1	0.171934
OTU000340	1	0.059212
OTU000341	4	0.26639
OTU000342	3	0.13281800000000002
OTU000343	1	0.253826
OTU000344	1	0.316492
OTU000345	4	0.576926
OTU000346	1	0.37839
OTU000347	1	0.687769
OTU000348	4	0.738825
OTU000349	2	0.538682
OTU000350	4	0.273735
OTU000351	3	0.183367
OTU000352	1	0.6251899999999999
OTU000353	1	0.149781
OTU000354	1	0.261757
OTU000355	1	0.66876
OTU000356	1	0.031137
OTU000357	4	0.469077
OTU000358	1	0.642749
OTU000359	4	0.323314
OTU000360	1	0.113462
OTU000361	1	0.39719899999999997
OTU000362	4	0.276283
OTU000363	1	0.14518699999999998
OTU000364	1	0.784744
OTU000365	4	0.5257850000000001
OTU000366	1	0.817918
OTU000367	1	0.026592
OTU000368	1	0.169241
OTU000369	1	0.06286599999999999
OTU000370	4	0.26849
OTU000371	1	0.361628
OTU000372	1	0.756671
OTU000373	4	0.28074299999999996
OTU000374	1	0.17866600000000002
OTU000375	4	0.463075
OTU000376	4	0.329058
OTU000377	4	0.316157
OTU000378	4	0.021480000000000003
OTU000379	4	0.350653
OTU000380	1	0.378836
OTU000381	1	0.049576999999999996
OTU000382	4	0.613679
OTU000383	1	0.800782
OTU000384	6	0.027486
OTU000385	1	0.085825
OTU000386	3	0.221164
OTU000387	2	0.9159120000000001
OTU000388	1	0.7651140000000001
OTU000389	2	0.023118
OTU000390	4	0.8610899999999999
OTU000391	1	0.107226
OTU000392	1	0.188895
OTU000393	2	0.874609
OTU000394	1	0.06511
OTU000395	2	0.29467899999999997
OTU000396	1	0.840251
OTU000397	1	0.783592
OTU000398	1	0.077271
OTU000399	1	0.171517
OTU000400	1	0.74345
OTU000401	4	0.5552560000000001
OTU000402	1	0.397937
OTU000403	1	0.7740630000000001
OTU000404	1	0.047855
OTU000405	1	0.055488
OTU000406	1	0.039238999999999996
OTU000407	1	0.868812
OTU000408	2	0.031337000000000004
OTU000409	4	0.388529
OTU000410	1	0.399431
OTU000411	1	0.405179
OTU000412	1	0.299066
OTU000413	1	0.111277
OTU000414	4	0.027745999999999996
OTU000415	1	0.547967
OTU000416	1	0.6392359999999999
OTU000417	1	0.803836
OTU000418	1	0.504121
OTU000419	1	0.307519
OTU000420	4	0.6163850000000001
OTU000421	1	0.279983
OTU000422	2	0.259766
OTU000423	5	0.056614
OTU000424	1	0.9392510000000001
OTU000425	1	0.703956
OTU000426	2	0.186893
OTU000427	8	0.067774
OTU000428	4	0.5300050000000001
OTU000429	1	0.274482
OTU000430	1	0.237064
OTU000431	1	0.7283
OTU000432	1	0.057103999999999995
OTU000433	1	0.176536
OTU000434	4	0.36389299999999997
OTU000435	4	0.388795
OTU000436	4	0.30098
OTU000437	1	1.9839950000000002
OTU000438	4	0.363294
OTU000439	1	0.280393
OTU000440	2	0.287957
OTU000441	4	0.6770609999999999
OTU000442	4	0.45198299999999997
OTU000443	1	0.346366
OTU000444	1	0.429516
OTU000445	1	0.11060999999999999
OTU000446	1	0.181757
OTU000447	1	0.257334
OTU000448	1	0.254474
OTU000449	1	1.029608
OTU000450	3	0.145858
OTU000451	4	0.604769
OTU000452	1	0.945305
OTU000453	1	1.108999
OTU000454	1	1.004537
OTU000455	1	0.038426999999999996
OTU000456	1	0.426015
OTU000457	2	0.264861
OTU000458	4	0.575067
OTU000459	1	1.109055
OTU000460	2	0.146491
OTU000461	1	0.09825
OTU000462	1	0.346562
OTU000463	1	0.20656
OTU000464	1	0.147259
OTU000465	1	0.046934
OTU000466	3	0.242319
OTU000467	1	0.900669
OTU000468	6	0.03331
OTU000469	1	0.644133
OTU000470	1	0.055745
OTU000471	1	0.22216799999999998
OTU000472	4	0.37113
OTU000473	1	0.797504
OTU000474	2	0.253328
OTU000475	4	0.031277
OTU000476	1	0.274447
OTU000477	4	0.452913
OTU000478	1	0.335764
OTU000479	1	1.150967
OTU000480	4	0.49096000000000006
OTU000481	2	0.8200860000000001
OTU000482	1	1.138274
OTU000483	4	0.365703
OTU000484	6	1.241544
OTU000485	2	0.195152
OTU000486	2	0.023417
OTU000487	1	0.047849
OTU000488	1	0.196847
OTU000489	1	0.023211000000000002
OTU000490	1	0.531943
OTU000491	1	0.1106
OTU000492	2	0.051620000000000006
OTU000493	6	1.139828
OTU000494	1	1.34263
OTU000495	4	0.7407159999999999
OTU000496	1	0.12452
OTU000497	1	0.270052
OTU000498	2	0.08996799999999999
OTU000499	4	0.462847
OTU000500	6	0.056688999999999996
OTU000501	2	0.102654
OTU000502	4	0.6172380000000001
OTU000503	1	0.156896
OTU000504	1	0.255893
OTU000505	1	0.165047
OTU000506	1	0.343223
OTU000507	1	0.153356
OTU000508	1	0.7553529999999999
OTU000509	1	0.221214
OTU000510	1	0.37596599999999997
OTU000511	1	0.28758
OTU000512	1	0.308744
OTU000513	1	0.206141
OTU000514	1	0.373906
OTU000515	4	0.330279
OTU000516	1	0.218375
OTU000517	4	0.842144
OTU000518	1	0.239446
OTU000519	4	0.575155
OTU000520	1	0.675764
OTU000521	1	0.617237
OTU000522	1	0.154835
OTU000523	1	0.31493000000000004
OTU000524	2	0.040912000000000004
OTU000525	4	0.347376
OTU000526	4	0.363169
OTU000527	4	0.6075189999999999
OTU000528	2	0.10505999999999999
OTU000529	1	0.8786229999999999
OTU000530	1	1.0343870000000002
OTU000531	1	0.073514
OTU000532	1	1.08808
OTU000533	1	0.11675
OTU000534	1	0.039168
OTU000535	1	0.23437800000000003
OTU000536	1	0.320878
OTU000537	1	0.20545500000000003
OTU000538	1	0.063329
OTU000539	1	0.038775
OTU000540	1	0.250163
OTU000541	2	0.13226
OTU000542	1	0.5422680000000001
OTU000543	1	0.059526
OTU000544	1	0.14970899999999998
OTU000545	1	0.9543659999999999
OTU000546	1	0.7771640000000001
OTU000547	1	0.7465470000000001
OTU000548	1	0.11871500000000001
OTU000549	2	0.032966
OTU000550	1	0.039967
OTU000551	1	0.6808649999999999
OTU000552	4	0.025328
OTU000553	1	0.127379
OTU000554	1	0.266988
OTU000555	1	0.923934
OTU000556	6	0.120859
OTU000557	4	0.400519
OTU000558	4	0.226018
OTU000559	4	0.873649
OTU000560	1	0.26260300000000003
OTU000561	1	0.819943
OTU000562	2	0.8027890000000001
OTU000563	1	0.509532
OTU000564	1	1.004102
OTU000565	1	0.161159
OTU000566	4	0.333335
OTU000567	1	0.8587629999999999
OTU000568	1	0.200456
OTU000569	1	0.212642
OTU000570	2	0.105128
OTU000571	1	0.321983
OTU000572	1	0.236357
OTU000573	5	0.055467999999999996
OTU000574	1	0.05714400000000001
OTU000575	1	0.849844
OTU000576	1	0.311768
OTU000577	1	0.049118
OTU000578	4	0.6146520000000001
OTU000579	2	0.54602
OTU000580	4	1.025635
OTU000581	4	0.737121
OTU000582	1	0.015274000000000001
OTU000583	1	0.562776
OTU000584	1	1.058635
OTU000585	1	0.623261
OTU000586	1	0.241035
OTU000587	1	0.652425
OTU000588	4	0.5329699999999999
OTU000589	1	0.9619979999999999
OTU000590	1	0.496342
OTU000591	4	0.447165
OTU000592	4	0.284984
OTU000593	1	0.28130700000000003
OTU000594	4	0.023249000000000002
OTU000595	2	0.887441
OTU000596	1	0.039620999999999996
OTU000597	1	0.190709
OTU000598	1	0.819783
OTU000599	3	0.101575
OTU000600	1	0.24340900000000001
OTU000601	4	0.587958
OTU000602	1	0.24149299999999999
OTU000603	3	0.069776
OTU000604	1	0.38913000000000003
OTU000605	1	0.28573899999999997
OTU000606	1	0.32416
OTU000607	4	0.292598
OTU000608	4	0.558287
OTU000609	1	0.347939
OTU000610	4	0.543708
OTU000611	2	0.11556300000000001
OTU000612	4	0.824624
OTU000613	4	0.48327700000000007
OTU000614	1	0.859008
OTU000615	1	0.590228
OTU000616	2	0.71302
OTU000617	1	0.548162
OTU000618	1	0.24972600000000003
OTU000619	1	0.248088
OTU000620	1	1.114187
OTU000621	2	0.064259
OTU000622	1	0.363385
OTU000623	1	1.3201
OTU000624	1	0.531467
OTU000625	4	0.600344
OTU000626	4	0.772017
OTU000627	1	0.678237
OTU000628	1	0.115478
OTU000629	1	0.678171
OTU000630	1	0.015625999999999998
OTU000631	1	0.11980899999999998
OTU000632	1	0.575179
OTU000633	4	0.462869
OTU000634	4	0.9008799999999999
OTU000635	1	0.549445
OTU000636	1	0.331505
OTU000637	1	0.9090860000000001
OTU000638	1	0.726405
OTU000639	1	0.603305
OTU000640	1	0.867563
OTU000641	1	1.149318
OTU000642	4	0.379306
OTU000643	2	0.350108
OTU000644	1	0.29196500000000003
OTU000645	2	0.219027
OTU000646	1	0.8357040000000001
OTU000647	4	0.55833
OTU000648	1	0.275443
OTU000649	1	0.378963
OTU000650	1	0.039027
OTU000651	4	0.566761
OTU000652	1	0.687887
OTU000653	2	0.141237
OTU000654	3	0.277858
OTU000655	1	0.270375
OTU000656	1	0.144843
OTU000657	1	0.632091
OTU000658	2	0.909769
OTU000659	2	0.365198
OTU000660	1	0.310906
OTU000661	1	0.559044
OTU000662	3	0.183265
OTU000663	1	0.164882
OTU000664	1	0.069414
OTU000665	1	0.02356
OTU000666	1	1.8570970000000002
OTU000667	1	0.8533120000000001
OTU000668	1	1.235724
OTU000669	1	0.372031
OTU000670	1	0.032195999999999995
OTU000671	4	0.6175390000000001
OTU000672	1	0.9127200000000001
OTU000673	1	0.074807
OTU000674	4	0.201484
OTU000675	1	0.163323
OTU000676	1	0.428912
OTU000677	4	0.42798500000000006
OTU000678	1	0.559465
OTU000679	1	0.31106
OTU000680	1	0.742325
OTU000681	1	0.494588
OTU000682	2	0.25942800000000005
OTU000683	1	0.355744
OTU000684	1	0.845016
OTU000685	1	0.25648899999999997
OTU000686	4	0.938457
OTU000687	1	0.5374720000000001
OTU000688	4	0.451657
OTU000689	4	0.6041979999999999
OTU000690	1	0.223023
OTU000691	1	1.077598
OTU000692	1	0.282396
OTU000693	1	0.45673800000000003
OTU000694	2	0.35880700000000004
OTU000695	1	0.221387
OTU000696	3	0.127407
OTU000697	1	0.650008
OTU000698	4	0.66354
OTU000699	4	0.620686
OTU000700	2	0.41635600000000006
OTU000701	1	0.484678
OTU000702	4	0.372286
OTU000703	1	0.703448
OTU000704	3	0.044229000000000004
OTU000705	1	0.059058000000000006
OTU000706	1	0.84629
OTU000707	1	0.388943
OTU000708	1	0.44272799999999995
OTU000709	1	0.179396
OTU000710	4	0.376221
OTU000711	1	0.36354200000000003
OTU000712	1	0.149067
OTU000713	1	0.8980379999999999
OTU000714	1	0.315297
OTU000715	10	2.728125
OTU000716	1	0.047626999999999996
OTU000717	4	0.369725
OTU000718	1	0.17236500000000002
OTU000719	1	0.0733
OTU000720	1	0.278593
OTU000721	1	0.082826
OTU000722	1	0.8741959999999999
OTU000723	2	0.972301
OTU000724	1	0.11716900000000001
OTU000725	1	0.41498900000000005
OTU000726	1	0.24149299999999999
OTU000727	1	0.30472899999999997
OTU000728	1	0.314339
OTU000729	1	0.384101
OTU000730	1	0.074639
OTU000731	1	0.299672
OTU000732	4	0.461578
OTU000733	1	1.19896
OTU000734	1	0.26821100000000003
OTU000735	4	0.554334
OTU000736	1	1.1992690000000001
OTU000737	1	0.066109
OTU000738	1	0.8579040000000001
OTU000739	1	0.408692
OTU000740	1	0.668141
OTU000741	6	0.05264099999999999
OTU000742	1	0.139194
OTU000743	4	0.554783
OTU000744	1	0.022837
OTU000745	1	0.888159
OTU000746	4	0.9177280000000001
OTU000747	6	0.089653
OTU000748	1	0.774287
OTU000749	1	1.490925
OTU000750	4	0.345022
OTU000751	1	0.48541599999999996
OTU000752	1	1.386511
OTU000753	1	0.471026
OTU000754	7	0.038575
OTU000755	2	0.25942800000000005
OTU000756	1	0.661026
OTU000757	1	0.200934
OTU000758	4	0.5956560000000001
OTU000759	1	0.4613
OTU000760	1	0.7275739999999999
OTU000761	3	0.031418
OTU000762	6	0.514369
OTU000763	1	0.317443
OTU000764	1	0.88812
OTU000765	1	0.064532
OTU000766	1	0.9275899999999999
OTU000767	1	0.492096
OTU000768	1	0.067495
OTU000769	1	0.269341
OTU000770	1	0.49477299999999996
OTU000771	1	0.6080840000000001
OTU000772	1	0.015352000000000001
OTU000773	1	0.357545
OTU000774	1	0.145156
OTU000775	4	0.648363
OTU000776	4	0.9179700000000001
OTU000777	1	0.109253
OTU000778	4	0.6136560000000001
OTU000779	1	1.2494299999999998
OTU000780	1	0.05639400000000001
OTU000781	4	0.44898699999999997
OTU000782	4	0.9502209999999999
OTU000783	1	0.038714
OTU000784	1	1.179346
OTU000785	1	0.624178
OTU000786	1	0.507829
OTU000787	1	0.736032
OTU000788	2	0.505984
OTU000789	1	1.30075
OTU000790	1	0.12455799999999999
OTU000791	3	0.064479
OTU000792	1	0.21476599999999998
OTU000793	1	0.64446
OTU000794	2	0.31169600000000003
OTU000795	1	0.199346
OTU000796	2	0.529754
OTU000797	1	0.351536
OTU000798	1	0.745325
OTU000799	4	0.71943
OTU000800	1	1.440016
OTU000801	1	0.120102
OTU000802	1	0.7418819999999999
OTU000803	1	0.065345
OTU000804	1	0.515101
OTU000805	1	0.377343
OTU000806	4	0.943051
OTU000807	4	0.757283
OTU000808	1	0.516559
OTU000809	4	0.06204
OTU000810	1	0.693511
OTU000811	1	0.830225
OTU000812	1	0.637158
OTU000813	1	0.092955
OTU000814	2	0.130793
OTU000815	1	0.319195
OTU000816	1	0.118585
OTU000817	1	0.38171700000000003
OTU000818	4	0.567291
OTU000819	1	1.645327
OTU000820	1	0.561949
OTU000821	1	0.431149
OTU000822	1	0.957728
OTU000823	1	0.221387
OTU000824	1	0.798176
OTU000825	1	0.305728
OTU000826	3	0.189171
OTU000827	1	1.6169719999999999
OTU000828	1	0.39255100000000004
OTU000829	1	0.648303
OTU000830	4	0.7087439999999999
OTU000831	1	0.121315
