sequence	16S_rRNA_Count	metadata_NSTI
OTU001671	1	0.6723279999999999
OTU001672	1	1.055868
OTU001673	1	0.607997
OTU001674	4	0.596514
OTU001675	1	0.155177
OTU001676	1	0.62093
OTU001677	2	1.5190190000000001
OTU001678	1	1.46977
OTU001679	1	0.838368
OTU001680	1	0.7116
OTU001681	1	0.7366699999999999
OTU001682	2	0.357104
OTU001683	1	1.27045
OTU001684	2	0.945208
OTU001685	4	0.521037
OTU001686	1	1.162574
OTU001687	4	0.65786
OTU001688	1	0.35504600000000003
OTU001689	1	0.675863
OTU001690	1	0.765555
OTU001691	1	0.487734
OTU001692	1	0.893809
OTU001693	1	0.209875
OTU001694	2	1.377145
OTU001695	1	1.276949
OTU001696	1	0.8897010000000001
OTU001697	1	0.742294
OTU001698	1	0.6314390000000001
OTU001699	1	1.1400430000000001
OTU001700	1	0.44688100000000003
OTU001701	1	1.147258
OTU001702	1	0.6453300000000001
OTU001703	4	0.9506180000000001
OTU001704	1	0.329554
OTU001705	1	0.270082
OTU001706	1	1.2308709999999998
OTU001707	2	0.233486
OTU001708	3	0.43284399999999995
OTU001709	1	0.477685
OTU001710	1	1.404731
OTU001711	4	0.501371
OTU001712	1	1.175481
OTU001713	3	0.30275100000000005
OTU001714	1	0.9470629999999999
OTU001715	1	1.337967
OTU001716	2	0.090735
OTU001717	1	0.802968
OTU001718	1	0.717811
OTU001719	1	0.846858
OTU001720	4	0.609232
OTU001721	1	0.329789
OTU001722	1	0.46869799999999995
OTU001723	1	0.5760000000000001
OTU001724	1	0.388635
OTU001725	4	0.631523
OTU001726	1	1.19359
OTU001727	1	0.20656
OTU001728	1	0.8966299999999999
OTU001729	6	0.8015770000000001
OTU001730	1	0.953644
OTU001731	4	1.000766
OTU001732	1	1.165684
OTU001733	1	0.7353
OTU001734	1	0.5167470000000001
OTU001735	1	0.46336700000000003
OTU001736	1	0.76155
OTU001737	1	1.391746
OTU001738	1	0.687405
OTU001739	1	0.562864
OTU001740	1	0.761455
OTU001741	1	1.110121
OTU001742	1	0.422318
OTU001743	1	0.382175
OTU001744	2	0.8521860000000001
OTU001745	1	0.618522
OTU001746	2	0.480939
OTU001747	1	0.723766
OTU001748	1	0.52517
OTU001749	4	0.260847
OTU001750	1	0.347223
OTU001751	1	0.45261599999999996
OTU001752	1	0.9230299999999999
OTU001753	1	0.25774600000000003
OTU001754	6	1.10084
OTU001755	1	1.170185
OTU001756	1	1.163384
OTU001757	1	0.726237
OTU001758	1	0.377434
OTU001759	1	0.777159
OTU001760	1	0.503846
OTU001761	1	0.6073970000000001
OTU001762	1	1.0826
OTU001763	4	0.694846
OTU001764	3	0.68948
OTU001765	1	0.333813
OTU001766	2	1.0500129999999999
OTU001767	1	0.9692709999999999
OTU001768	1	1.0415889999999999
OTU001769	1	1.260182
OTU001770	1	0.299668
OTU001771	1	0.15905
OTU001772	1	0.834169
OTU001773	1	0.505418
OTU001774	1	0.08482
OTU001775	1	1.2409999999999999
OTU001776	4	0.487412
OTU001777	4	0.520073
OTU001778	1	1.351016
OTU001779	1	0.441222
OTU001780	1	0.843192
OTU001781	1	0.7607649999999999
OTU001782	1	0.353921
OTU001783	1	0.8429979999999999
OTU001784	1	0.571836
OTU001785	1	1.188056
OTU001786	1	0.954142
OTU001787	2	0.722617
OTU001788	1	0.456061
OTU001789	1	1.108842
OTU001790	1	1.1544809999999999
OTU001791	1	0.962082
OTU001792	1	0.9397549999999999
OTU001793	1	0.46091099999999996
OTU001794	1	0.516837
OTU001795	1	0.602061
OTU001796	1	0.27421799999999996
OTU001797	1	1.028434
OTU001798	1	0.91745
OTU001799	1	0.43742600000000004
OTU001800	1	0.6198130000000001
OTU001801	1	0.35828699999999997
OTU001802	1	0.86871
OTU001803	1	1.008361
OTU001804	1	0.9481790000000001
OTU001805	4	0.749763
OTU001806	4	0.701796
OTU001807	1	0.5315479999999999
OTU001808	1	0.610687
OTU001809	4	0.7120810000000001
OTU001810	1	0.211288
OTU001811	1	0.519651
OTU001812	1	1.277401
OTU001813	1	0.6031979999999999
OTU001814	1	0.8943629999999999
OTU001815	1	0.372213
OTU001816	1	1.4339899999999999
OTU001817	1	1.27281
OTU001818	1	0.32977199999999995
OTU001819	1	0.575279
OTU001820	1	0.754038
OTU001821	1	0.750289
OTU001822	4	0.237697
OTU001823	1	0.8011560000000001
OTU001824	4	0.655678
OTU001825	1	1.702302
OTU001826	1	0.871492
OTU001827	1	1.302378
OTU001828	4	0.773324
OTU001829	1	0.13410999999999998
OTU001830	1	0.566239
OTU001831	1	0.745699
OTU001832	4	0.9593860000000001
OTU001833	1	0.25301599999999996
OTU001834	2	1.578699
OTU001835	1	0.513138
OTU001836	1	1.350842
OTU001837	4	0.581916
OTU001838	1	0.402487
OTU001839	1	0.406219
OTU001840	1	0.296356
OTU001841	1	0.46756499999999995
OTU001842	1	0.868657
OTU001843	1	0.548841
OTU001844	1	1.100114
OTU001845	1	0.7102569999999999
OTU001846	1	1.068475
OTU001847	1	0.604362
OTU001848	1	0.788503
OTU001849	1	1.051968
OTU001850	1	1.056932
OTU001851	1	1.3153700000000002
OTU001852	4	0.765833
OTU001853	1	1.711122
OTU001854	1	0.20620700000000003
OTU001855	1	0.501333
OTU001856	1	0.710066
OTU001857	1	0.464426
OTU001858	1	0.860965
OTU001859	1	0.519878
OTU001860	4	0.642792
OTU001861	1	1.419275
OTU001862	1	0.672285
OTU001863	1	0.8637309999999999
OTU001864	1	0.814361
OTU001865	1	0.9895790000000001
OTU001866	1	0.5031939999999999
OTU001867	1	1.1003040000000002
OTU001868	1	0.5471630000000001
OTU001869	4	0.66188
OTU001870	1	1.1631719999999999
OTU001871	1	0.163108
OTU001872	1	0.243274
OTU001873	1	0.617768
OTU001874	1	1.156077
OTU001875	1	0.582619
OTU001876	4	0.550146
OTU001877	1	0.848067
OTU001878	1	1.006314
OTU001879	4	0.700874
OTU001880	1	0.46401499999999996
OTU001881	1	1.1642219999999999
OTU001882	1	0.23063899999999998
OTU001883	1	0.35588800000000004
OTU001884	1	1.601625
OTU001885	3	0.750687
OTU001886	1	0.560006
OTU001887	1	0.99879
OTU001888	4	0.728522
OTU001889	1	0.876978
OTU001890	1	0.48908599999999997
OTU001891	1	1.385786
OTU001892	1	1.482477
OTU001893	1	0.19914500000000002
OTU001894	6	0.755182
OTU001895	4	0.9098280000000001
OTU001896	1	0.48102799999999996
OTU001897	1	0.641466
OTU001898	1	0.245285
OTU001899	1	0.362141
OTU001900	1	0.364516
OTU001901	1	0.7436619999999999
OTU001902	1	0.592621
OTU001903	1	1.098615
OTU001904	1	1.190244
OTU001905	1	0.455798
OTU001906	4	0.738712
OTU001907	1	0.579982
OTU001908	1	1.268285
OTU001909	1	0.17977200000000002
OTU001910	1	0.465365
OTU001911	4	0.26054299999999997
OTU001912	4	0.70135
OTU001913	1	0.9195409999999999
OTU001914	1	0.803747
OTU001915	1	0.382641
OTU001916	1	0.7648510000000001
OTU001917	1	0.8826799999999999
OTU001918	1	0.748239
OTU001919	1	1.089796
OTU001920	1	0.41490299999999997
OTU001921	1	0.2419
OTU001922	1	1.405508
OTU001923	2	0.659327
OTU001924	4	1.0024899999999999
OTU001925	1	0.8778879999999999
OTU001926	1	0.400561
OTU001927	1	1.2753809999999999
OTU001928	2	1.7077419999999999
OTU001929	4	0.9251510000000001
OTU001930	1	1.3857190000000001
OTU001931	1	0.5334939999999999
OTU001932	1	1.035244
OTU001933	4	0.541133
OTU001934	1	0.782053
OTU001935	1	0.43221899999999996
OTU001936	1	1.1548100000000001
OTU001937	4	1.025254
OTU001938	1	0.6095470000000001
OTU001939	1	0.908783
OTU001940	1	0.289904
OTU001941	1	0.759231
OTU001942	2	1.077174
OTU001943	1	0.496791
OTU001944	1	1.317882
OTU001945	1	0.624671
OTU001946	3	0.551229
OTU001947	2	1.1543219999999998
OTU001948	1	1.424743
OTU001949	1	1.114611
OTU001950	2	0.768166
OTU001951	1	0.46767299999999995
OTU001952	1	0.3468
OTU001953	1	0.9364319999999999
OTU001954	2	0.612871
OTU001955	1	0.7846850000000001
OTU001956	4	0.7658689999999999
OTU001957	2	0.5727909999999999
OTU001958	1	0.8468459999999999
OTU001959	2	1.602739
OTU001960	1	1.3722729999999999
OTU001961	1	0.730759
OTU001962	1	0.8709049999999999
OTU001963	1	0.380685
OTU001964	1	1.6576380000000002
OTU001965	1	1.148079
OTU001966	1	0.548242
OTU001967	1	1.370201
OTU001968	1	0.4372
OTU001969	1	1.330243
OTU001970	1	1.813405
OTU001971	1	0.556864
OTU001972	1	0.23156300000000002
OTU001973	4	0.44678100000000004
OTU001974	1	0.44625
OTU001975	1	1.516816
OTU001976	1	0.021646000000000002
OTU001977	1	1.126417
OTU001978	1	0.135434
OTU001979	4	0.6834640000000001
OTU001980	1	1.065283
OTU001981	1	1.575934
OTU001982	1	0.558968
OTU001983	1	0.318895
OTU001984	4	0.7993560000000001
OTU001985	4	0.503961
OTU001986	2	0.86698
OTU001987	1	0.473788
OTU001988	2	1.5145870000000001
OTU001989	1	1.5209270000000001
OTU001990	1	1.4637639999999998
OTU001991	1	0.937531
OTU001992	2	0.07921
OTU001993	4	0.614373
OTU001994	2	1.594444
OTU001995	2	0.6289640000000001
OTU001996	2	1.397285
OTU001997	2	0.543601
OTU001998	4	0.79398
OTU001999	1	0.756709
OTU002000	1	0.302394
OTU002001	4	0.306174
OTU002002	2	1.030538
OTU002003	4	0.708214
OTU002004	1	0.368135
OTU002005	4	0.552545
OTU002006	1	0.718224
OTU002007	2	0.685377
OTU002008	4	0.699353
OTU002009	1	0.8828969999999999
OTU002010	1	0.449046
OTU002011	1	0.682277
OTU002012	1	1.435829
OTU002013	4	0.285644
OTU002014	1	0.540137
OTU002015	1	0.261757
OTU002016	1	0.701047
OTU002017	1	1.045963
OTU002018	1	0.68537
OTU002019	4	0.369879
OTU002020	1	0.9527329999999999
OTU002021	1	0.664007
OTU002022	2	1.374682
OTU002023	1	0.6249319999999999
OTU002024	4	0.386114
OTU002025	1	0.49838000000000005
OTU002026	1	0.621404
OTU002027	2	0.473938
OTU002028	1	0.9910329999999999
OTU002029	1	0.854159
OTU002030	1	0.652993
OTU002031	1	1.385182
OTU002032	1	0.888273
OTU002033	2	0.513721
OTU002034	6	0.322927
OTU002035	1	0.686333
OTU002036	4	0.56798
OTU002037	4	0.38293
OTU002038	1	1.2304329999999999
OTU002039	4	0.559902
OTU002040	1	0.769022
OTU002041	1	0.916927
OTU002042	4	0.8211129999999999
OTU002043	1	0.8040510000000001
OTU002044	1	0.412131
OTU002045	1	1.491617
OTU002046	1	1.248107
OTU002047	6	1.102977
OTU002048	1	1.0303870000000002
OTU002049	2	0.946592
OTU002050	1	0.797949
OTU002051	1	1.782859
OTU002052	1	0.545864
OTU002053	2	0.896984
OTU002054	1	0.458099
OTU002055	1	1.377173
OTU002056	1	0.533097
OTU002057	1	1.7793720000000002
OTU002058	1	0.419724
OTU002059	1	0.468604
OTU002060	4	0.08387
OTU002061	2	0.474575
OTU002062	1	0.26563400000000004
OTU002063	1	1.100386
OTU002064	1	1.050093
OTU002065	1	0.781692
OTU002066	1	0.7208979999999999
OTU002067	4	0.8500110000000001
OTU002068	1	0.37091599999999997
OTU002069	1	1.308182
OTU002070	1	0.913523
OTU002071	1	0.664913
OTU002072	1	0.7826390000000001
OTU002073	1	1.949238
OTU002074	1	0.43455900000000003
OTU002075	1	1.211841
OTU002076	1	1.1306120000000002
OTU002077	1	1.1200510000000001
OTU002078	1	0.7300260000000001
OTU002079	1	0.159581
OTU002080	1	1.172396
OTU002081	1	1.198256
OTU002082	1	0.813547
OTU002083	1	0.390654
OTU002084	1	0.661245
OTU002085	2	1.637016
OTU002086	1	1.2074790000000002
OTU002087	6	1.192359
OTU002088	1	0.549098
OTU002089	1	0.279983
OTU002090	1	0.31954299999999997
OTU002091	1	0.335046
OTU002092	1	1.0982049999999999
OTU002093	1	0.478685
OTU002094	1	0.961144
OTU002095	1	0.8183729999999999
OTU002096	1	0.986563
OTU002097	4	0.791388
OTU002098	1	1.312805
OTU002099	4	0.49271000000000004
OTU002100	1	0.570666
OTU002101	1	1.065994
OTU002102	1	0.714942
OTU002103	1	0.398086
OTU002104	1	0.779343
OTU002105	1	1.231816
OTU002106	1	0.41713100000000003
OTU002107	4	0.6737810000000001
OTU002108	1	0.789974
OTU002109	4	0.8788870000000001
OTU002110	2	1.783045
OTU002111	1	0.765131
OTU002112	2	1.655303
OTU002113	1	0.308342
OTU002114	1	0.846967
OTU002115	1	0.838549
OTU002116	1	0.366228
OTU002117	4	0.46780200000000005
OTU002118	4	0.6533479999999999
OTU002119	4	0.631438
OTU002120	1	1.65274
OTU002121	1	0.886761
OTU002122	1	0.749264
OTU002123	6	0.8875850000000001
OTU002124	1	0.8952040000000001
OTU002125	4	0.9319870000000001
OTU002126	1	0.322883
OTU002127	1	0.49242700000000006
OTU002128	1	0.434783
OTU002129	2	1.1317270000000001
OTU002130	4	0.605779
OTU002131	1	0.6393810000000001
OTU002132	1	1.100649
OTU002133	1	0.209866
OTU002134	1	0.78333
OTU002135	1	0.802878
OTU002136	1	1.196742
OTU002137	1	0.48706099999999997
OTU002138	4	0.731409
OTU002139	1	0.623495
OTU002140	1	0.9574790000000001
OTU002141	1	0.570704
OTU002142	1	0.9337479999999999
OTU002143	1	0.7174729999999999
OTU002144	1	0.5214449999999999
OTU002145	1	0.21595300000000003
OTU002146	3	0.526623
OTU002147	1	0.35088
OTU002148	2	1.068773
OTU002149	1	0.747202
OTU002150	2	0.116975
OTU002151	4	0.783986
OTU002152	1	0.38402600000000003
OTU002153	1	0.309596
OTU002154	1	0.604859
OTU002155	1	0.290252
OTU002156	1	0.6803
OTU002157	1	0.818293
OTU002158	1	0.859295
OTU002159	1	1.2493100000000001
OTU002160	1	1.265698
OTU002161	1	0.492361
OTU002162	1	0.942752
OTU002163	1	0.658656
OTU002164	1	0.41047700000000004
OTU002165	1	0.643097
OTU002166	4	0.726434
OTU002167	1	1.0759290000000001
OTU002168	1	1.3626040000000001
OTU002169	2	0.637604
OTU002170	1	1.077656
OTU002171	1	0.389153
OTU002172	1	1.015988
OTU002173	1	0.303316
OTU002174	2	0.632228
OTU002175	2	0.223019
OTU002176	4	0.597416
OTU002177	4	0.7191310000000001
OTU002178	4	0.504984
OTU002179	4	0.469649
OTU002180	1	1.104006
OTU002181	1	0.567179
OTU002182	1	0.21490700000000001
OTU002183	1	1.390133
OTU002184	1	1.0541280000000002
OTU002185	1	1.449749
OTU002186	1	0.619645
OTU002187	1	0.854225
OTU002188	2	0.7075560000000001
OTU002189	1	0.718006
OTU002190	1	0.946679
OTU002191	1	0.5577880000000001
OTU002192	4	0.565721
OTU002193	4	0.660274
OTU002194	1	0.874323
OTU002195	1	0.680624
OTU002196	1	1.174517
OTU002197	5	0.019185
OTU002198	1	0.45064499999999996
OTU002199	1	0.476021
OTU002200	1	0.373755
OTU002201	1	1.33905
OTU002202	2	1.509279
OTU002203	1	0.937125
OTU002204	1	0.518744
OTU002205	1	0.70689
OTU002206	4	0.5410520000000001
OTU002207	1	0.73288
OTU002208	1	0.608205
OTU002209	1	1.0000040000000001
OTU002210	1	0.7375189999999999
OTU002211	1	1.363961
OTU002212	2	0.22246100000000002
OTU002213	1	0.567937
OTU002214	1	0.42007
OTU002215	1	0.543222
OTU002216	2	0.19403099999999998
OTU002217	1	0.52925
OTU002218	4	0.280616
OTU002219	1	0.478024
OTU002220	4	0.792794
OTU002221	1	1.149076
OTU002222	1	0.658025
OTU002223	2	1.677886
OTU002224	1	1.34205
OTU002225	1	0.9815649999999999
OTU002226	1	1.523196
OTU002227	2	1.40081
OTU002228	1	1.013212
OTU002229	1	1.1430799999999999
OTU002230	1	1.26366
OTU002231	1	0.581447
OTU002232	1	0.37737800000000005
OTU002233	4	0.808604
OTU002234	1	1.559754
OTU002235	1	0.8389559999999999
OTU002236	1	0.921702
OTU002237	1	1.236879
OTU002238	1	0.652838
OTU002239	1	1.082975
OTU002240	4	0.541158
OTU002241	1	1.531464
OTU002242	1	1.173346
OTU002243	1	0.9211719999999999
OTU002244	4	0.790303
OTU002245	1	1.2000790000000001
OTU002246	1	0.43808800000000003
OTU002247	4	0.670461
OTU002248	2	1.2078209999999998
OTU002249	4	0.7372569999999999
OTU002250	1	0.7904770000000001
OTU002251	1	0.591421
OTU002252	1	0.7198439999999999
OTU002253	1	0.474681
OTU002254	1	0.137327
OTU002255	2	0.9866299999999999
OTU002256	1	3.7739839999999996
OTU002257	1	1.189762
OTU002258	1	1.6413970000000002
OTU002259	1	0.806064
OTU002260	2	1.164841
OTU002261	1	0.820361
OTU002262	1	1.210106
OTU002263	4	0.979123
OTU002264	1	0.878347
OTU002265	1	0.758081
OTU002266	1	0.71862
OTU002267	1	0.096901
OTU002268	1	1.04326
OTU002269	1	0.810029
OTU002270	1	0.372813
OTU002271	1	0.757777
OTU002272	1	0.826667
OTU002273	1	1.489588
OTU002274	1	0.492649
OTU002275	1	1.051485
OTU002276	1	1.574296
OTU002277	6	0.25353000000000003
OTU002278	1	1.184307
OTU002279	1	1.24435
OTU002280	1	0.49595500000000003
OTU002281	1	0.51449
OTU002282	1	0.7273270000000001
OTU002283	1	0.9800459999999999
OTU002284	6	1.409904
OTU002285	1	1.562938
OTU002286	1	0.632529
OTU002287	1	0.806538
OTU002288	1	0.684454
OTU002289	2	0.7217
OTU002290	1	0.730739
OTU002291	4	1.0874139999999999
OTU002292	1	0.466854
OTU002293	1	0.9463600000000001
OTU002294	1	0.961808
OTU002295	1	0.930816
OTU002296	1	0.330854
OTU002297	1	1.25105
OTU002298	1	0.598332
OTU002299	1	0.305632
OTU002300	1	1.538144
OTU002301	1	0.227729
OTU002302	1	0.648983
OTU002303	1	1.384699
OTU002304	1	0.12397799999999999
OTU002305	1	0.982466
OTU002306	1	1.039639
OTU002307	1	1.1815129999999998
OTU002308	1	1.277368
OTU002309	1	0.548416
OTU002310	4	0.815541
OTU002311	1	1.223182
OTU002312	1	1.012242
OTU002313	1	1.184508
OTU002314	1	1.4767
OTU002315	1	0.954015
OTU002316	1	0.6592020000000001
OTU002317	2	1.392955
OTU002318	1	0.73634
OTU002319	1	0.584731
OTU002320	1	1.541483
OTU002321	1	0.241983
OTU002322	1	1.307493
OTU002323	1	0.49003900000000006
OTU002324	1	0.284868
OTU002325	1	0.567783
OTU002326	1	0.877389
OTU002327	4	0.663218
OTU002328	2	0.9586399999999999
OTU002329	1	0.964324
OTU002330	1	0.703326
OTU002331	1	1.207907
OTU002332	1	0.629479
OTU002333	1	0.670862
OTU002334	4	0.795126
OTU002335	1	0.6599970000000001
OTU002336	4	0.7437699999999999
OTU002337	2	1.700616
OTU002338	4	0.619875
OTU002339	1	0.640687
OTU002340	2	0.39206599999999997
OTU002341	1	1.294316
OTU002342	1	0.7905479999999999
OTU002343	1	1.340217
OTU002344	1	1.382378
OTU002345	1	0.36273
OTU002346	2	1.5359459999999998
OTU002347	1	1.350956
OTU002348	1	0.279699
OTU002349	1	0.551659
OTU002350	3	0.185447
OTU002351	1	1.063604
OTU002352	1	0.44820200000000004
OTU002353	1	0.217169
OTU002354	2	0.841384
OTU002355	1	0.668462
OTU002356	1	0.5659350000000001
OTU002357	1	0.604119
OTU002358	2	1.285444
OTU002359	2	1.4038
OTU002360	1	0.40562600000000004
OTU002361	1	0.88366
OTU002362	4	0.758217
OTU002363	1	0.25116700000000003
OTU002364	1	0.857051
OTU002365	1	0.510241
OTU002366	1	1.1140809999999999
OTU002367	1	0.500784
OTU002368	1	0.64983
OTU002369	1	0.46457600000000004
OTU002370	1	0.194448
OTU002371	1	0.983554
OTU002372	1	1.3193840000000001
OTU002373	1	1.018428
OTU002374	1	0.88965
OTU002375	4	0.589309
OTU002376	1	0.68496
OTU002377	4	0.72416
OTU002378	2	1.189435
OTU002379	4	0.487655
OTU002380	2	0.126505
OTU002381	1	0.450216
OTU002382	4	0.832676
OTU002383	1	0.8964270000000001
OTU002384	1	0.878338
OTU002385	1	0.717545
OTU002386	4	0.324375
OTU002387	2	0.66693
OTU002388	1	0.17563199999999998
OTU002389	1	0.5109199999999999
OTU002390	1	0.9368139999999999
OTU002391	4	0.823918
OTU002392	2	0.687034
OTU002393	1	0.6360060000000001
OTU002394	1	0.48447299999999993
OTU002395	1	1.5241120000000001
OTU002396	1	1.076516
OTU002397	4	0.696976
OTU002398	1	1.280166
OTU002399	4	0.214128
OTU002400	4	0.616167
OTU002401	1	0.579458
OTU002402	1	0.902283
OTU002403	1	0.23273200000000002
OTU002404	1	0.39359299999999997
OTU002405	1	0.400652
OTU002406	2	0.30207
OTU002407	1	0.522404
OTU002408	4	0.615572
OTU002409	1	0.5934729999999999
OTU002410	1	0.621229
OTU002411	2	0.601877
OTU002412	4	0.909885
OTU002413	1	0.373398
OTU002414	1	0.511953
OTU002415	1	0.276569
OTU002416	1	0.79205
OTU002417	2	0.669164
OTU002418	1	0.8654959999999999
OTU002419	1	1.425503
OTU002420	1	0.638213
OTU002421	1	0.6969770000000001
OTU002422	1	0.8691030000000001
OTU002423	1	1.134343
OTU002424	1	0.5760569999999999
OTU002425	4	0.8277629999999999
OTU002426	1	0.8030520000000001
OTU002427	1	0.310667
OTU002428	1	0.9469879999999999
OTU002429	4	0.8498479999999999
OTU002430	1	0.814979
OTU002431	1	1.035561
OTU002432	1	0.853748
OTU002433	1	0.664326
OTU002434	1	0.681144
OTU002435	1	0.6646479999999999
OTU002436	1	0.638651
OTU002437	2	1.349045
OTU002438	1	0.5699569999999999
OTU002439	1	0.51281
OTU002440	1	0.3801
OTU002441	1	0.577643
OTU002442	1	1.078093
OTU002443	4	0.30783299999999997
OTU002444	1	1.328254
OTU002445	4	0.7517020000000001
OTU002446	1	0.331727
OTU002447	1	1.0320850000000001
OTU002448	1	0.6669510000000001
OTU002449	6	0.9272819999999999
OTU002450	4	0.562873
OTU002451	1	0.7007899999999999
OTU002452	4	0.943343
OTU002453	1	1.073574
OTU002454	1	0.672867
OTU002455	1	0.403769
OTU002456	1	1.0896219999999999
OTU002457	1	0.226429
OTU002458	1	0.8921469999999999
OTU002459	1	1.028902
OTU002460	1	1.80646
OTU002461	1	0.690608
OTU002462	4	0.741812
OTU002463	1	0.6097130000000001
OTU002464	1	0.9479629999999999
OTU002465	1	0.517364
OTU002466	1	0.613106
OTU002467	1	0.728306
OTU002468	1	0.691176
OTU002469	1	0.555248
OTU002470	1	1.626174
OTU002471	1	0.8653850000000001
OTU002472	1	0.843937
OTU002473	1	1.554278
OTU002474	1	0.496738
OTU002475	1	0.5352399999999999
OTU002476	1	0.751829
OTU002477	1	0.289142
OTU002478	1	1.289035
OTU002479	1	0.4548
OTU002480	1	0.29162
OTU002481	2	1.56037
OTU002482	1	1.243254
OTU002483	1	0.268306
OTU002484	2	0.864359
OTU002485	1	1.6865029999999999
OTU002486	1	1.430821
OTU002487	1	0.242821
OTU002488	1	0.664246
OTU002489	1	1.207956
OTU002490	1	0.5992310000000001
OTU002491	3	0.22041799999999998
OTU002492	1	0.481483
OTU002493	1	0.295134
OTU002494	1	1.116857
OTU002495	1	0.9983850000000001
OTU002496	1	0.766738
OTU002497	1	0.91117
OTU002498	1	0.20581
OTU002499	1	0.624035
OTU002500	1	1.102527
OTU002501	1	1.439086
OTU002502	1	0.8515450000000001
OTU002503	1	0.751107
OTU002504	2	0.7761979999999999
OTU002505	4	0.570241
